Supercharger,City,State,Municipality

"Cuernavaca, Mexico",Cuernavaca,Morelos,Cuernavaca

"Valladolid, Mexico",Valladolid,Yucat\u00e1n,Valladolid

"Temascalcingo, Mexico",Temascalcingo,M\u00e9xico,Temascalcingo

"San Luis de la Paz, Mexico",San Luis de la Paz,Guanajuato,San Luis de la Paz

"San Francisco Ocotl\u00e1n, Mexico",San Francisco Ocotl\u00e1n,Puebla,Coronango

"Chilpancingo de los Bravo, Mexico",Chilpancingo de los Bravo,Guerrero,Chilpancingo de los Bravo

"Silao, Mexico",Silao,Guanajuato,Silao de la Victoria

"San Pedro Garza Garcia, Mexico",San Pedro Garza Garc\u00eda,Nuevo Le\u00f3n,San Pedro Garza Garc\u00eda

"Ramos Arizpe, Mexico",Ramos Arizpe,Coahuila de Zaragoza,Ramos Arizpe

"Ensenada, Mexico",Ensenada,Baja California,Ensenada

"Valle de Bravo, Mexico",Valle de Bravo,M\u00e9xico,Valle de Bravo

"Atizapan de Zaragoza, Mexico",Ciudad L\u00f3pez Mateos,M\u00e9xico,Atizap\u00e1n de Zaragoza

"Matehuala, Mexico",Matehuala,San Luis Potos\u00ed,Matehuala

"Santa Fe, Mexico",Ciudad de M\u00e9xico,Ciudad de M\u00e9xico,Cuajimalpa de Morelos

"Compostela, Mexico",Compostela,Nayarit,Compostela

"Morelia, Mexico",Morelia,Michoac\u00e1n de Ocampo,Morelia

"Villa Hidalgo, Mexico",Villa Hidalgo,San Luis Potos\u00ed,Villa Hidalgo

"China, Mexico",China,Nuevo Le\u00f3n,China

"Tepatitlan, Mexico",Tepatitl\u00e1n de Morelos,Jalisco,Tepatitl\u00e1n de Morelos

"Aguascalientes, Mexico",Aguascalientes,Aguascalientes,Aguascalientes

"San Juan del R\u00edo, Mexico",San Juan del R\u00edo,Quer\u00e9taro,San Juan del R\u00edo

"Zapopan, Mexico",Zapopan,Jalisco,Zapopan

"Cuencam\u00e9, Mexico",Cuencam\u00e9,Durango,Cuencam\u00e9

"Canc\u00fan, Mexico",Cancun-Tulum,Quintana Roo,Benito Ju\u00e1rez

"Chihuahua, Mexico",Chihuahua,Chihuahua,Chihuahua

"Acapulco, Mexico",Acapulco de Ju\u00e1rez,Guerrero,Acapulco de Ju\u00e1rez

"Durango, Mexico",Durango,Durango,Durango

"Santa Ana, Mexico",Santa Ana,Sonora,Santa Ana

"Villa Ahumada, Mexico",Ahumada Norte,Chihuahua,Ahumada

"Mazatl\u00e1n, Mexico",Villa Uni\u00f3n,Sinaloa,Mazatl\u00e1n

"Monterrey, Mexico",Monterrey,Nuevo Le\u00f3n,Monterrey

"M\u00e9rida, Mexico",M\u00e9rida,Yucat\u00e1n,M\u00e9rida
